,t,value,type
1,2016-01-01 08:00:00,0,tune_in
2,2016-01-01 08:00:04,0,tune_in
3,2016-01-01 08:00:08,0.96871892891231,tune_in
4,2016-01-01 08:00:12,1.60878923217846,tune_in
5,2016-01-01 08:00:16,2.18130411819456,tune_in
6,2016-01-01 08:00:20,2.25899347453807,tune_in
7,2016-01-01 08:00:24,1.43040372457244,tune_in
8,2016-01-01 08:00:28,1.43944387688906,tune_in
9,2016-01-01 08:00:32,1.01462255341268,tune_in
10,2016-01-01 08:00:36,1.75616890360313,tune_in
11,2016-01-01 08:00:40,1.43580208890444,tune_in
12,2016-01-01 08:00:44,0.999013080583353,tune_in
13,2016-01-01 08:00:48,0.253225784273422,tune_in
14,2016-01-01 08:00:52,0.3585305180266,tune_in
15,2016-01-01 08:00:56,0.290594084036081,tune_in
16,2016-01-01 08:01:00,0.529324301811662,tune_in
17,2016-01-01 08:01:04,0.128632861717512,tune_in
18,2016-01-01 08:01:08,0.438257912231297,tune_in
19,2016-01-01 08:01:12,0.0752780289250317,tune_in
20,2016-01-01 08:01:16,0.801180486434915,tune_in
21,2016-01-01 08:01:20,1.31226250568613,tune_in
22,2016-01-01 08:01:24,1.32558159059584,tune_in
23,2016-01-01 08:01:28,1.12311819908946,tune_in
24,2016-01-01 08:01:32,0.322589969928382,tune_in
25,2016-01-01 08:01:36,0.336668007305427,tune_in
26,2016-01-01 08:01:40,0.0208767725945224,tune_in
27,2016-01-01 08:01:44,0.282223556743315,tune_in
28,2016-01-01 08:01:48,0.991698564253564,tune_in
29,2016-01-01 08:01:52,0.727888918389621,tune_in
30,2016-01-01 08:01:56,0.99956355036749,tune_in
31,2016-01-01 08:02:00,0.281134449304021,tune_in
32,2016-01-01 08:02:04,0.584640155781049,tune_in
33,2016-01-01 08:02:08,0.0593241258837323,tune_in
34,2016-01-01 08:02:12,0,tune_in
35,2016-01-01 08:02:16,0,tune_in
36,2016-01-01 08:02:20,0.190184554299765,tune_in
37,2016-01-01 08:02:24,1.2132143852449,tune_in
38,2016-01-01 08:02:28,0.75688489645144,tune_in
39,2016-01-01 08:02:32,1.03031798234678,tune_in
40,2016-01-01 08:02:36,0.600409055261219,tune_in
41,2016-01-01 08:02:40,1.55448605448105,tune_in
42,2016-01-01 08:02:44,1.74169214031271,tune_in
43,2016-01-01 08:02:48,2.02692532044469,tune_in
44,2016-01-01 08:02:52,1.21577228138089,tune_in
45,2016-01-01 08:02:56,0.197786246459627,tune_in
46,2016-01-01 08:03:00,0,tune_in
47,2016-01-01 08:03:04,0,tune_in
48,2016-01-01 08:03:08,0.0763971518607987,tune_in
49,2016-01-01 08:03:12,0.933470691119639,tune_in
50,2016-01-01 08:03:16,0.804722740506597,tune_in
51,2016-01-01 08:03:20,1.31817607110958,tune_in
52,2016-01-01 08:03:24,1.01741065051959,tune_in
53,2016-01-01 08:03:28,0.310107062569106,tune_in
54,2016-01-01 08:03:32,0.085931084431831,tune_in
55,2016-01-01 08:03:36,0.669632945782433,tune_in
56,2016-01-01 08:03:40,1.12838841551382,tune_in
